"original_title,""overview"",""popularity"",""release_date"",""vote_average"",""vote_count"",""budget"",""keywords"",""director"",""comentarios""",,,,,,,
"Intolerance,""In 1979, an Indian family moves to America with hopes of living the American Dream. While their 10-year-old boy Smith falls head-over-heels for the girl next door, his desire to become a """"good old boy"""" propels him further away from his family's ideals than ever before."",""71087"",""2/3/2017"",""74"",""7"",""0"","""",""Frank Lotito"",""""",,,,,,,
"The Big Parade,""Set in a small town near the North Pole where roads lead to nowhere, the story follows Roman and Lucy, two burning souls who come together to make a leap for life and inner peace."",""3139294"",""10/2/2016"",""68"",""27"",""0"",""small town lovers bear north pole"",""Kim Nguyen"",""""",,,,,,,
"Metropolis,""A unique friendship develops when a little girl and her dying mother inherit a cook - Mr. Church. What begins as an arrangement that should only last six months, instead spans fifteen years."",""7828459"",""9/16/2016"",""70"",""129"",""8000000"",""cook friendship"",""Bruce Beresford"",""""",,,,,,,
"Pandora's Box,""When his hard-earned kicks get snatched by a local hood, fifteen-year old Brandon and his two best friends go on an ill-advised mission across the Bay Area to retrieve the stolen sneakers."",""3.47E+16"",""9/9/2016"",""75"",""18"",""0"",""blow job cigarette smoking illegal drugs smoking weed shoes"",""Justin Tipping"",""""",,,,,,,
"The Broadway Melody,""Nat Turner, a former slave in America, leads a liberation movement in 1831 to free African-Americans in Virgina that results in a violent retaliation from whites."",""9.45E+15"",""9/9/2016"",""65"",""178"",""8500000"",""slavery"",""Nate Parker"",""""",,,,,,,
"Hell's Angels,""In a desolate community full of drug-addled Marines and rumors of kidnapping, a wild-eyed stoner named Lou wakes up after a crazy night of partying with symptoms of a strange illness and recurring visions. As she struggles to get a grip on reality, the stories of conspiracy spread."",""3674294"",""9/2/2016"",""48"",""40"",""35000000"",""drug abuse experiment television conspiracy alien abduction"",""Danny Perez"",""""",,,,,,,
"A Farewell to Arms,""The legendary Roberto Duran and his equally legendary trainer Ray Arcel change each other's lives."",""7444189"",""8/26/2016"",""61"",""109"",""20000000"","""",""Jonathan Jakubowicz"",""""",,,,,,,
"42nd Street,""A falsely accused nobleman survives years of slavery to take vengeance on his best friend who betrayed him."",""2.96E+16"",""8/17/2016"",""53"",""621"",""100000000"",""betrayal vengeance"",""Timur Bekmambetov"",""""",,,,,,,
"She Done Him Wrong,""Pete is a mysterious 10-year-old with no family and no home who claims to live in the woods with a giant, green dragon named Elliott. With the help of Natalie, an 11-year-old girl whose father Jack owns the local lumber mill, forest ranger Grace sets out to determine where Pete came from, where he belongs, and the truth about this dragon."",""3.20E+16"",""8/10/2016"",""62"",""679"",""65000000"",""feral child remake dragon orphan 1980s"",""David Lowery"",""""",,,,,,,
"It Happened One Night,""From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences."",""9.02E+15"",""8/2/2016"",""59"",""7458"",""175000000"",""dc comics shared universe anti hero secret mission villain"",""David Ayer"",""""",,,,,,,
"Top Hat,""From the mind behind Evangelion comes a hit larger than life.  When a massive, gilled monster emerges from the deep and tears through the city, the government scrambles to save its citizens.  A rag-tag team of volunteers cuts through a web of red tape to uncover the monster's weakness and its mysterious ties to a foreign superpower.  But time is not on their side - the greatest catastrophe to ever befall the world is about to evolve right before their very eyes."",""9.48E+15"",""7/29/2016"",""65"",""143"",""15000000"",""monster godzilla giant monster destruction kaiju"",""Hideaki Anno"",""""",,,,,,,
"Modern Times,""In 1951, Marcus Messner, a working-class Jewish student from New Jersey, attends a small Ohio college, where he struggles with anti-Semitism, sexual repression, and the ongoing Korean War."",""5625989"",""7/29/2016"",""68"",""69"",""0"",""based on novel jewish life ohio 1950s"",""James Schamus"",""""",,,,,,,
"The Charge of the Light Brigade,""When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence."",""42512296"",""7/28/2016"",""63"",""1252"",""20000000"",""alcohol bar party divorce family"",""Jon Lucas"",""""",,,,,,,
"The Prisoner of Zenda,""The most dangerous former operative of the CIA is drawn out of hiding to uncover hidden truths about his past."",""62641286"",""7/27/2016"",""59"",""2341"",""120000000"",""assassin amnesia flashback"",""Paul Greengrass"",""""",,,,,,,
"Snow White and the Seven Dwarfs,""Industrious high school senior, Vee Delmonico, has had it with living life on the sidelines. When pressured by friends to join the popular online game Nerve, Vee decides to sign up for just one dare in what seems like harmless fun. But as she finds herself caught up in the thrill of the adrenaline-fueled competition partnered with a mysterious stranger, the game begins to take a sinister turn with increasingly dangerous acts, leading her into a high stakes finale that will determine her entire future."",""62933899"",""7/27/2016"",""71"",""2181"",""20000000"",""based on novel technology internet hacking teenager"",""Henry Joost"",""""",,,,,,,
"Alexander's Ragtime Band,""A squad of soldiers fight in the Korean War's crucial Battle of Incheon."",""6116436"",""7/27/2016"",""58"",""29"",""0"",""korea fictionalized history operation """"trudy jackson"""" general douglas macarthur operation x-ray"",""John H. Lee"",""""",,,,,,,
"You Can't Take It With You,""When Tory Coro turns up dead, the neighborhood turns up silent. Rumor has it she became yet another victim of the small town known as FIGHT VALLEY. Tory's sister Windsor moves to town to begin her own investigation on her sister's mysterious death after weeks of no leads from the police. She's quick to learn that Tory fought for money to make ends meet. If girl-next-door Windsor is going to make her way into FIGHT VALLEY to find the truth about Tory, she's going to have to fight her way in. """"Jabs"""" (Miesha Tate) swore she would never throw a punch in the Valley again. Jabs now finds herself training Windsor to survive the painful, unexpected path she's about to take. Every corner. Every alley. Every doorway. She must follow the last footsteps of her sister in order to come face-to-face with Tory's killer in FIGHT VALLEY."",""1224105"",""7/22/2016"",""39"",""8"",""27000000"",""new jersey martial arts sister sport murder"",""Rob Hawk"",""""",,,,,,,
"The Wizard of Oz,""When Rebecca left home, she thought she left her childhood fears behind. Growing up, she was never really sure of what was and wasnâ€™t real when the lights went outâ€¦and now her little brother, Martin, is experiencing the same unexplained and terrifying events that had once tested her sanity and threatened her safety. A frightening entity with a mysterious attachment to their mother, Sophie, has reemerged."",""48170508"",""7/21/2016"",""63"",""1129"",""4900000"",""suicide darkness basement based on short story fear of the dark"",""David F. Sandberg"",""""",,,,,,,
"Mr. Smith Goes to Washington,""Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat."",""6621806"",""7/14/2016"",""53"",""2142"",""144000000"",""female friendship ghost hunting reboot ghost"",""Paul Feig"",""""",,,,,,,
